id_puce,lot_id,défectueux
1,1,Non défectueux
2,1,Non défectueux
3,1,Non défectueux
4,1,Non défectueux
5,1,Non défectueux
6,1,Non défectueux
7,1,Non défectueux
8,1,Non défectueux
9,1,Non défectueux
10,1,Non défectueux
11,1,Non défectueux
12,1,Non défectueux
13,1,Non défectueux
14,1,Non défectueux
15,1,Non défectueux
16,1,Non défectueux
17,1,Non défectueux
18,1,Non défectueux
19,1,Non défectueux
20,1,Non défectueux
21,2,Non défectueux
22,2,Non défectueux
23,2,Non défectueux
24,2,Non défectueux
25,2,Non défectueux
26,2,Défectueux
27,2,Non défectueux
28,2,Non défectueux
29,2,Non défectueux
30,2,Non défectueux
31,2,Non défectueux
32,2,Non défectueux
33,2,Défectueux
34,2,Non défectueux
35,2,Défectueux
36,2,Non défectueux
37,2,Non défectueux
38,2,Non défectueux
39,2,Non défectueux
40,2,Non défectueux
41,3,Non défectueux
42,3,Non défectueux
43,3,Non défectueux
44,3,Non défectueux
45,3,Non défectueux
46,3,Non défectueux
47,3,Non défectueux
48,3,Défectueux
49,3,Non défectueux
50,3,Défectueux
51,3,Non défectueux
52,3,Non défectueux
53,3,Défectueux
54,3,Non défectueux
55,3,Non défectueux
56,3,Non défectueux
57,3,Non défectueux
58,3,Non défectueux
59,3,Non défectueux
60,3,Non défectueux
61,4,Non défectueux
62,4,Non défectueux
63,4,Non défectueux
64,4,Non défectueux
65,4,Non défectueux
66,4,Non défectueux
67,4,Non défectueux
68,4,Non défectueux
69,4,Non défectueux
70,4,Non défectueux
71,4,Non défectueux
72,4,Non défectueux
73,4,Non défectueux
74,4,Non défectueux
75,4,Non défectueux
76,4,Non défectueux
77,4,Non défectueux
78,4,Défectueux
79,4,Non défectueux
80,4,Non défectueux
81,5,Non défectueux
82,5,Non défectueux
83,5,Non défectueux
84,5,Non défectueux
85,5,Non défectueux
86,5,Non défectueux
87,5,Non défectueux
88,5,Non défectueux
89,5,Non défectueux
90,5,Non défectueux
91,5,Non défectueux
92,5,Non défectueux
93,5,Non défectueux
94,5,Non défectueux
95,5,Non défectueux
96,5,Non défectueux
97,5,Non défectueux
98,5,Non défectueux
99,5,Non défectueux
100,5,Non défectueux
101,6,Non défectueux
102,6,Non défectueux
103,6,Non défectueux
104,6,Non défectueux
105,6,Défectueux
106,6,Non défectueux
107,6,Non défectueux
108,6,Non défectueux
109,6,Non défectueux
110,6,Non défectueux
111,6,Non défectueux
112,6,Non défectueux
113,6,Non défectueux
114,6,Non défectueux
115,6,Non défectueux
116,6,Non défectueux
117,6,Non défectueux
118,6,Défectueux
119,6,Non défectueux
120,6,Non défectueux
121,7,Non défectueux
122,7,Non défectueux
123,7,Non défectueux
124,7,Non défectueux
125,7,Non défectueux
126,7,Défectueux
127,7,Non défectueux
128,7,Non défectueux
129,7,Non défectueux
130,7,Non défectueux
131,7,Non défectueux
132,7,Non défectueux
133,7,Non défectueux
134,7,Non défectueux
135,7,Non défectueux
136,7,Non défectueux
137,7,Défectueux
138,7,Non défectueux
139,7,Non défectueux
140,7,Non défectueux
141,8,Défectueux
142,8,Non défectueux
143,8,Non défectueux
144,8,Non défectueux
145,8,Non défectueux
146,8,Non défectueux
147,8,Non défectueux
148,8,Non défectueux
149,8,Non défectueux
150,8,Non défectueux
151,8,Non défectueux
152,8,Non défectueux
153,8,Non défectueux
154,8,Non défectueux
155,8,Non défectueux
156,8,Défectueux
157,8,Défectueux
158,8,Non défectueux
159,8,Non défectueux
160,8,Non défectueux
161,9,Non défectueux
162,9,Non défectueux
163,9,Non défectueux
164,9,Non défectueux
165,9,Non défectueux
166,9,Non défectueux
167,9,Non défectueux
168,9,Non défectueux
169,9,Non défectueux
170,9,Non défectueux
